C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
0,99045.94295549643,277187.4738037455,469777.17974197445,962441.9846876706,1313197.122529043,1599439.629360653
1,98761.74574510363,278705.58486919117,470538.04533316597,960773.4164797635,1313871.18654105,1598683.6386148
2,98454.85182753917,280107.9697763886,471368.6671375029,959043.8685880133,1314687.6669644723,1597910.59131068
3,98091.01902044806,281477.1189013438,472203.9671534509,957251.6440801577,1315506.510821967,1597121.2525652265
4,97724.7916829287,282904.8198430623,473075.94973424665,955395.0197961421,1316327.2489058357,1596316.4177574676
5,97290.98877469572,284278.87734495435,474049.85027967504,953472.2468407442,1317149.3754514994,1595496.9095395023
6,96801.8823560263,285834.14755578956,475173.3167239256,951481.5526903339,1317972.3486957627,1594663.5747806588
7,96218.12553625954,287372.41026543704,477469.20349729306,949421.0654301326,1318795.5916988146,1593817.2814601806
8,95531.34575425359,288757.7157816204,479746.54566433426,947289.1092377064,1319618.4931738263,1592958.9155194396
9,94767.23387184998,290022.3502660621,481979.7550619378,945083.776935563,1320440.41289772,1592089.3776817205
10,93895.49307031863,291397.88168034283,484345.10431290645,942803.208030814,1321260.6606571504,1591209.5802462134
11,93006.44566745232,292804.7820915213,486690.1082530392,940445.5220602065,1322288.6727636557,1590320.443862902
12,91893.75574108947,294004.56291090604,488954.14060451824,938008.8191332201,1323413.1867579634,1589422.8942964121
13,90735.16574381312,295142.9351448683,491266.048007762,935491.1803261962,1324538.6544043627,1588517.8591891825
14,89469.95199112821,296143.67537708115,493999.7949195145,932890.6678771445,1325664.2498290162,1587606.2648371602
15,88137.13495585404,297095.92444996623,497251.5514169489,930205.3254742221,1326789.1163338327,1586689.0329941593
16,86743.93071359831,298102.32901432697,500714.4498242613,927433.1780430841,1327912.3691893758,1585767.0777236987
17,85270.92037143308,298992.34563024784,504023.03667926893,924572.2316416511,1329140.1964544263,1584841.3036384713
18,83657.35038160544,299741.63143838,507444.4593104839,921620.4731823727,1330490.1911174287,1585134.8552642367
19,81905.19265412008,300330.8346922004,510824.88018073444,918590.7756282684,1331839.7770782663,1585629.8014440536
20,79975.18354509927,300744.13005109725,514151.0002903744,915485.3621725295,1333241.777183272,1586139.8037468635
21,77961.2796567368,301066.8828900667,517883.7426674094,912283.5046809206,1334780.5167572764,1586665.1800266542
22,75781.17850241017,301244.1797045858,522641.77183375036,908983.12623439,1336360.4730461342,1587206.2213230038
23,73405.6676842886,300808.98087169614,526834.9567419675,905582.1191552909,1337941.8652674137,1587763.1914761567
24,70831.55137819677,300130.3974219648,530768.8333691086,902078.3451688226,1339523.6716673065,1588336.3254573634
25,68118.60977993949,299279.32315170055,535265.1910217098,898469.6359368573,1341104.8450522048,1590098.0542013852
26,65202.76458857107,298291.4296891234,539883.6989795037,894753.7928954606,1342684.313413615,1591946.3569487224
27,62105.61561840229,297234.7737090458,544583.7818617525,890928.587465475,1344265.032493223,1593822.4514973564
28,58734.81401296525,295913.1032691284,549471.0105402959,886991.7611334053,1345879.063737356,1595726.1342580046
29,55250.35417538327,294441.3855605158,553893.8541362066,882941.0255042019,1347489.9478822504,1597657.1776584517
30,51598.97219680935,292585.12329643895,558297.6560283179,878774.0623333785,1349096.536309221,1599615.3310541934
31,47766.134495885526,290067.06006988726,562942.9615655679,874488.5235446369,1350697.6556211358,1601600.3201166517
32,43760.378167401235,287587.83214190707,567341.5424851055,870082.0312386729,1352292.108715364,1604455.7705103606
33,39511.60656353589,284772.28800159093,571767.8546652135,865552.1776982268,1353878.6756520937,1607552.0032866215
34,35040.48697232402,281750.68401827326,575572.7744562608,860896.5253937518,1355456.1145578863,1610682.458144791
35,30370.356810410027,278455.2816086979,579830.0521546678,856112.6187567464,1357023.184180158,1613846.5901808038
36,25473.823877941173,274847.498569525,583720.1545920857,851197.878370964,1358578.559276508,1617043.8419449502
37,20386.32189572426,271047.80664023454,587575.0168895328,846149.9325362433,1360120.9574686189,1620273.644547728
38,14657.633463141177,267147.2833050125,590829.0006689912,840966.1364182967,1361649.0573939276,1624073.6840368689
39,0.0,263308.9162634353,593550.537706222,835643.9034651582,1363161.51975783,1628264.4490292454
40,0,259121.39322280145,596282.9583662917,830180.6175058958,1364657.046836645,1632503.6479320314
41,0,254667.29236092608,598809.3753149135,830625.8477976676,1366134.2086945856,1636782.0876273075
42,0,250040.80952376153,600966.2821829453,828862.1570926221,1367591.6148239728,1641101.1774548364
43,0,245260.73436952464,602871.5498617314,827056.6229511115,1369027.8611847144,1646053.2011814783
44,0,240248.31844199894,604315.4895955108,830476.8812496632,1370441.529244068,1651227.7697585765
45,0,235186.62957057968,605678.6545300382,832028.1250184138,1371831.1866118102,1656448.9840320626
46,0,230061.75691143802,607447.745044361,833487.5119677103,1373195.3876604023,1661943.0873017455
47,0,225076.97255966422,608434.2189688436,837416.5073663323,1374532.6741311583,1667970.129387004
48,0,219468.11614636323,609045.7150089616,841568.0742122602,1375841.5757273317,1674377.6657967947
49,0,213358.38337326903,609355.4072640318,846106.5097832896,1377120.6106950028,1680846.5440540765
50,0,207012.23966188694,609559.5417283155,850492.2705054819,1378368.2863925614,1687376.00331421
51,0,200335.2113438707,609627.308562464,857889.8919930265,1379583.0998495785,1693965.5821590673
52,0,193415.09900309803,609211.9831670086,864392.6330849595,1380763.5383157607,1700614.7290903376
53,0,186316.06586425207,608823.9184930931,871723.7165072553,1381908.0798007005,1707322.895828985
54,0,178933.8947181856,608188.6985777763,880221.459895675,1383015.1936050549,1714089.5378258575
