J,Cp(B=10°),Cp(B=20°),Cp(B=30°),Cp(B=40°),Cp(B=50°),Cp(B=60°),Cp(B=70°),Cp(B=80°)
0.0,0.017136299191550616,0.051308753852426496,0.1422417934991471,0.24148549220103838,0.30234524566041415,0.38354129065975384,0.4561505167696678,0.5067766390273788
0.013636363636363634,0.017104979008725513,0.05169169358299136,0.14146515352140615,0.24122890237826533,0.30237878512793803,0.38321505562160874,0.45604395238795675,0.5068907688987366
0.027272727272727268,0.01705816740698186,0.05206531562369216,0.14066246713752795,0.24096059847881007,0.30241037367496115,0.3828774690079645,0.4559304820504221,0.5070020108257945
0.0409090909090909,0.01699177242079546,0.05241691422306254,0.13983955039471516,0.24068027803178488,0.3024400492724341,0.38252879214575614,0.45581059709355465,0.5071112273098556
0.054545454545454536,0.01690015644644843,0.05275479030035512,0.13900981690102784,0.24038764183931263,0.30246786893959665,0.38216932286111327,0.4556848324172098,0.507219348248288
0.06818181818181818,0.016788572526315777,0.05308228118311571,0.1381941468615261,0.24008239409867344,0.3025638284556555,0.38179939336553864,0.45555376215195686,0.5073273591408344
0.0818181818181818,0.01665719212592123,0.05340096704320856,0.13742857404396308,0.23976422383595714,0.30285481932217134,0.38141939944364056,0.4554179947388101,0.5074362881240668
0.09545454545454544,0.016513126152051676,0.05370974994660997,0.13663704923983871,0.23943287825149945,0.30314985109380943,0.3810296681712585,0.4552781675573597,0.507547192419432
0.10909090909090907,0.016346525294687133,0.05401273047954046,0.13582131278031145,0.23908805541726322,0.3034488093433784,0.3806306508224987,0.45513494124921416,0.5076611447723618
0.12272727272727271,0.016156815137993066,0.05430548212502913,0.13497713375500742,0.23873501528558574,0.303751568004926,0.3802441787526718,0.4549889938867155,0.5077792204064704
0.13636363636363635,0.015941478561333326,0.05458741202304487,0.134113246659194,0.23836860609172553,0.30405798994663785,0.3798519130088158,0.45484101513251857,0.5079024849293902
0.15,0.015683167886969426,0.054826163101870495,0.13322402964650296,0.237987767034676,0.3043679316762636,0.379452387854052,0.45469170052480884,0.5080319835191713
0.1636363636363636,0.01539701229722731,0.05503399731217212,0.13230844815453408,0.2375922351237419,0.3046812169775186,0.379046094607798,0.45454174600700326,0.5081687316062679
0.17727272727272725,0.01506396459066295,0.05521170954315408,0.1314969824844535,0.23718174664564504,0.3049977134196277,0.37864339191140145,0.4543918428013004,0.508313707157628
0.1909090909090909,0.014691209200188715,0.05535492453662039,0.13069328119143747,0.2367560368741964,0.30531722107956927,0.3782689346761944,0.4542426727040508,0.508467844574755
0.20454545454545453,0.014272570106240466,0.05546675326409667,0.12985923382340825,0.23631483976500953,0.3056451106054322,0.37789031141905466,0.4540949038590269,0.5086320301416812
0.21818181818181814,0.013813847664588907,0.05554687133835051,0.12899492106436725,0.2358681510644694,0.30597837043649734,0.37751857536064926,0.4539491870436213,0.5088070904063949
0.23181818181818178,0.013316846245984077,0.05559453153784877,0.12810378816957343,0.23545891550884993,0.30631426994340555,0.37714900386934425,0.4538061524836901,0.5089938258757771
0.24545454545454543,0.012783196071026426,0.055615155791217945,0.12718426199503902,0.23503466347369403,0.30665261911181346,0.3767772679632124,0.453666407195916,0.5091929543944913
0.25909090909090904,0.012214980600996114,0.05562232112095843,0.12625794643090593,0.23459218521717778,0.306993221274062,0.37640385695532985,0.4535305328425387,0.5094051504596697
0.2727272727272727,0.011603733876819516,0.05559421558658708,0.125446164567584,0.23414095385636427,0.30733587388333367,0.37602924646638525,0.45339908407222423,0.5096310358308719
0.2863636363636363,0.010939715999043463,0.05552715810156733,0.12472072790915732,0.23366830238208297,0.3076803689836434,0.37571304782067616,0.4532725873126492,0.5098711810382899
0.3,0.010216960851872724,0.0554094906338832,0.12396004730013478,0.233195927238909,0.3080264939262716,0.37541927743868714,0.45315153997483515,0.5101261073327557
0.3136363636363636,0.009453271423908238,0.05524677801195432,0.12315982934978717,0.23272010397470946,0.3083740319123511,0.37513202702754894,0.4530364100260619,0.510396288951924
0.3272727272727272,0.008640312050800071,0.0550373773579995,0.12230455925142325,0.23223850540864868,0.3087227624547394,0.3748469591207386,0.4529276358869581,0.5106821555962627
0.3409090909090909,0.007793617789601829,0.05477835675812464,0.12140746707367868,0.23172699574410446,0.3090724618188412,0.3745644524240768,0.4528256266087278,0.5109840950269744
0.3545454545454545,0.006885247442141125,0.054468288446745346,0.12048947732973057,0.23118812539267494,0.3094229034180345,0.37428490534456227,0.4527307622880546,0.5113024557149809
0.3681818181818181,0.005915482182523949,0.054110835180293845,0.11956572966728211,0.2306455330759766,0.30977385816662734,0.37400864936869893,0.4526433946797075,0.5116375494852035
0.3818181818181818,0.00490366905315039,0.053711735489488474,0.11908487748964239,0.23017858128648433,0.310125094793556,0.37381117794100954,0.4525638479699518,0.5119896541134492
0.3954545454545454,0.003843383337128002,0.0532871726393235,0.11846868680747198,0.22969156251252712,0.3104763860744172,0.3736682594663955,0.45249241967730136,0.512359015844257
0.40909090909090906,0.002731453334410436,0.05281599342159346,0.11782211186826626,0.22917223882717383,0.31082748556884515,0.37353110972824144,0.4524293816507429,0.5127458518072078
0.4227272727272727,0.0,0.05229584007255116,0.11709963289577456,0.22863708002800023,0.31117816262988873,0.3733999695436473,0.45240788866167114,0.5131503523166352
0.4363636363636363,0.0,0.051703824966962096,0.11630412380327905,0.22807954069612799,0.31152817971327673,0.37327506027883345,0.452419471919122,0.5135726830455967
0.44999999999999996,0.0,0.051056200788994435,0.11547421635240976,0.2274867297905484,0.31187729818594817,0.37315658168780835,0.4524540978933351,0.514012987069608
0.46363636363636357,0.0,0.05034997702103211,0.11461649807686206,0.2268579889170118,0.3122252784730904,0.37304472636407443,0.4524999874110492,0.5144713867791956
0.47727272727272724,0.0,0.04957383366910579,0.11432051262560831,0.2261911163533545,0.312571880187621,0.3730741650759381,0.4525573355334929,0.514947985662989
0.49090909090909085,0.0,0.04873123351003277,0.11396508222187632,0.22548771602561787,0.31291686224446974,0.3731652212325845,0.4526263170946875,0.5154428699650101
0.5045454545454545,0.0,0.047828459269356145,0.11358010802394056,0.22477085372215716,0.3132599829617902,0.3732648808423523,0.4527070878247689,0.5159561102211747
0.5181818181818181,0.0,0.04687214411556024,0.11317331734736938,0.22418663889950882,0.3136010001510076,0.3733732331069401,0.45279978564130574,0.5164877626809213
0.5318181818181817,0.0,0.04588493853396722,0.11272868637935687,0.22356910529546614,0.31403019119860104,0.37349035280380954,0.45293601866246225,0.5170378706204245
0.5454545454545454,0.0,0.0448251545472735,0.11225191156361877,0.2229194568017738,0.3145016040152272,0.37361630311296695,0.4531221893063215,0.5176064655541165
0.559090909090909,0.0,0.04370102997349792,0.11172978794458546,0.22225017952235018,0.3149667791568054,0.3737564706140808,0.45332203428540074,0.5181935683513083
0.5727272727272726,0.0,0.042504176139368605,0.11117883220019575,0.22155269361446497,0.3154495116884542,0.37417045590127435,0.4535356457101714,0.5187991902646154
0.5863636363636363,0.0,0.04122469103244661,0.11150394924483222,0.22084297750997428,0.3158979551138398,0.3745947470427594,0.4537631027972122,0.519423333876697
0.6,0.0,0.03987272657149987,0.11146551169818772,0.22007459029643878,0.3163186665563216,0.3750293164463154,0.45400447276352235,0.5200659939715485
0.6136363636363635,0.0,0.03849137616559147,0.11138910502012644,0.21924248351777006,0.3167182179771794,0.375474150441793,0.45425981167772284,0.5207356278535534
0.6272727272727272,0.0,0.037101196531851316,0.11125895456210809,0.2183050596840744,0.31712139505516673,0.37592922372163173,0.45452916527361326,0.521424485380515
0.6409090909090909,0.0,0.03569156068368265,0.11111594858534621,0.21732026249437797,0.3174962126783535,0.3763945056280159,0.4548125697127563,0.5221321689795697
0.6545454545454544,0.0,0.03423849731087112,0.11098638207856439,0.21653404288266198,0.3178504600696868,0.3770163988358438,0.4551100523151353,0.5228586533636527
0.6681818181818181,0.0,0.0327046854626689,0.11082729271767891,0.21580867487860914,0.3181878675023035,0.3778774448103056,0.45542163224779486,0.5236039086853296
0.6818181818181818,0.0,0.031072228152646743,0.11066230995532819,0.21504832440249452,0.3185132563949978,0.37874947696270994,0.455852933723013,0.524376867470315
0.6954545454545453,0.0,0.02931576486913693,0.11046998936567287,0.21424938500538596,0.3188220567981417,0.37963241905588635,0.45630597032586234,0.5251842993187236
0.709090909090909,0.0,0.02745686068652186,0.11023369054378528,0.21341397342076876,0.31911083735798546,0.38052619422791023,0.45677476773310266,0.5260364985827863
0.7227272727272727,0.0,0.025545195978469295,0.10994415770618533,0.21259305771593046,0.3193958446016948,0.3814307251551351,0.45725933275918745,0.5269311350901505
0.7363636363636362,0.0,0.023607941925008723,0.10954069245059248,0.2117343257840224,0.31976029382255244,0.3823459342875835,0.45775966735514895,0.5278464458117192
0.7499999999999999,0.0,0.02167211858507184,0.1090036067881049,0.21081730997205037,0.3200908150537037,0.3835158693077061,0.4582757746736299,0.5287824068360635
0.7636363636363636,0.0,0.019701871874494906,0.10831717324033303,0.20986063056111545,0.3204032828817672,0.3849606301283846,0.4588076388993283,0.5297389921279037
0.7772727272727272,0.0,0.01762659955498607,0.1075892593293367,0.2087571522007784,0.3207006930766625,0.3864255528296439,0.45935525224431806,0.5307161738991683
0.7909090909090908,0.0,0.01540682588965589,0.10673439282869752,0.20786206385196343,0.32101726582236917,0.3879182354233386,0.45991860025013986,0.5317139229290785
0.8045454545454545,0.0,0.01307617131294152,0.10583683519195976,0.20704911832190342,0.3212877263776597,0.38942010145045136,0.4604976653968589,0.5327322088700013
0.8181818181818181,0.0,0.01067318059517936,0.10486303192119491,0.20616832700714766,0.3215210107326614,0.39093262672280893,0.4611928270179871,0.5337710005331135
0.8318181818181817,0.0,0.00824304598664378,0.10377830845236863,0.2052802395670237,0.3217202055273783,0.39246182968844234,0.4619731665794895,0.5348302661555453
0.8454545454545453,0.0,0.005728380155195579,0.1025912997095017,0.20432843847456614,0.32189054676486,0.39407512861591365,0.4627709413797511,0.5359099736505344
0.859090909090909,0.0,0.0,0.10135973549738317,0.20332986545004503,0.3220483288412023,0.39574168435190515,0.4635861406283293,0.5370100908419937
0.8727272727272726,0.0,0.0,0.10011496234444336,0.202375141512597,0.3222121223245095,0.39741502744438223,0.46441875232487684,0.5381305856847818
0.8863636363636362,0.0,0.0,0.09882106102576359,0.20135557527516515,0.3223341563620536,0.39906312573696423,0.4652687634277535,0.5393512752985575
0.8999999999999999,0.0,0.0,0.0974971247168529,0.2002756379262725,0.32242951685001714,0.4007265164675113,0.4661361600748474,0.5405963330857102
0.9136363636363635,0.0,0.0,0.09607920515479489,0.1991169213131682,0.3225039483920704,0.4023788441294637,0.46702092790934063,0.5418634855070639
0.9272727272727271,0.0,0.0,0.09451228216005726,0.1982464715468692,0.3228028131365871,0.40400792023132864,0.4679230522571842,0.5431527218072049
0.9409090909090908,0.0,0.0,0.09284406532606361,0.1976158519164706,0.3230153495112832,0.40562935848938736,0.4688425183356944,0.5444640307393357
0.9545454545454545,0.0,0.0,0.09106719023831104,0.19688997619122778,0.3231461808310158,0.40725337280455687,0.46987395921365993,0.545797402126575
0.968181818181818,0.0,0.0,0.08922319340012813,0.1961109973375436,0.323215923426498,0.4088851994858665,0.4710716859516373,0.5471528270219596
0.9818181818181817,0.0,0.0,0.08728321380189252,0.19523048998442047,0.3232546196602407,0.4105195441805481,0.4722885746926445,0.5485302978613024
0.9954545454545454,0.0,0.0,0.08528079369647747,0.19420397362388656,0.32331954465777973,0.4121390350345387,0.47352463172954634,0.5499298086095213
1.009090909090909,0.0,0.0,0.08331175660514302,0.19306364895569966,0.32334923818156047,0.4137440558199925,0.47477986489446194,0.5513513549010051
1.0227272727272725,0.0,0.0,0.08122942160619273,0.19188100033418412,0.3233314254883251,0.41534518685979555,0.4760542827179907,0.5527949341745405
1.0363636363636362,0.0,0.0,0.07908590244200733,0.19066985587672572,0.32328274843982474,0.4169543466127755,0.4773479099598153,0.5542605458032932
1.0499999999999998,0.0,0.0,0.07692204420830392,0.18938538326853868,0.3232099854712696,0.41856312444830984,0.47866073028235473,0.5557481912202948
