J,Ct(B=10°),Ct(B=20°),Ct(B=30°),Ct(B=40°),Ct(B=50°),Ct(B=60°),Ct(B=70°),Ct(B=80°)
0.0,0.08141475275404045,0.19809782938947199,0.21229065644430936,0.19468566674046825,0.164240122868492,0.1438099670275935,0.11533639036453695,0.07049861453913157
0.013637727409104546,0.07920198701947728,0.196238644401627,0.21222033472191412,0.19505461511776204,0.16451734948830432,0.14372924201785156,0.11538039029545305,0.07066462643100103
0.027275454818209092,0.07695164918680597,0.19435916820994384,0.21208005004426095,0.1955130025205875,0.16480334494783772,0.14364608199601797,0.11542338254040159,0.07083359054567398
0.04091318222731364,0.07462879336767404,0.19241364844420233,0.21186427616257314,0.195947880620921,0.16510545955193315,0.14356048536474705,0.1154652794037924,0.07100535322090104
0.054550909636418184,0.07222629830634497,0.19027306050474435,0.21219205791285328,0.19636531374977506,0.16543903763177106,0.1434867350921627,0.11550599798580008,0.07117975143891433
0.06818863704552272,0.06979192738163845,0.18798434239294662,0.21229956601947042,0.19674597805267532,0.16578354434467193,0.1434322378933493,0.11554546068648942,0.07135661453063334
0.08182636445462728,0.06730594738873522,0.18565944694442063,0.2122964910489755,0.19707925233110735,0.16613918470992872,0.14337659642231396,0.11558359555447593,0.07153576589604732
0.09546409186373182,0.06476545841506948,0.18327211481450542,0.21219148857540607,0.19737560546819174,0.16650617316798924,0.14331987362597576,0.11562033647891566,0.07171702469250771
0.10910181927283637,0.06214244309301087,0.18084651497441506,0.21222587037287097,0.1976491038263283,0.16688473372178822,0.14326214066647527,0.11565562323118792,0.07190020744876756
0.12273954668194091,0.05946367554569643,0.17830999156816382,0.21208663614307743,0.19789833046881522,0.1672750999611266,0.14321671382462872,0.11568940136918486,0.07208512957040528
0.13637727409104544,0.05670813287400437,0.17572023603739007,0.2117261261193894,0.1984285686162938,0.16767751450905283,0.143181296917098,0.1157216220222289,0.07227160671097856
0.15001500150014999,0.05391898877356835,0.17310749607404913,0.21127246729705007,0.19895370892263287,0.16809222877936023,0.14314683150365246,0.1157522415780653,0.07245945599212253
0.16365272890925456,0.05104773650979183,0.17045482316130287,0.21080030043033954,0.19941704515172018,0.16851950171418395,0.1431134168547646,0.11578122129507298,0.07264849706416962
0.1772904563183591,0.04812418698138254,0.1678474749980445,0.21084735902854043,0.19985273643693666,0.16895959942716848,0.1431186321868813,0.11581149645335159,0.0728385530062329
0.19092818372746365,0.045138992741934794,0.1651780202147766,0.2107305278448596,0.20038397824327783,0.16941280651376633,0.14314005791050227,0.1158569800395995,0.07302945107073605
0.2045659111365682,0.04214525487061332,0.16231793037286601,0.21039394195335062,0.2007727786717947,0.16987937516791773,0.14316444181630983,0.11590799767658772,0.0732210232819556
0.21820363854567273,0.03911552927127842,0.1594188579055157,0.20987313781032527,0.20094580727229064,0.1703595963487412,0.14319194557840326,0.1159708891130193,0.07341310690127242
0.23184136595477728,0.03601268236417117,0.156444429105606,0.2092647607647456,0.20104068460108862,0.17085375212043102,0.14322274199321358,0.1160348632470177,0.0736055447736425
