Alpha,Cl,Cd
-11.5,-0.9042419354838711,0.059206451612903215
-11.4,-0.9098587096774194,0.05739303225806451
-11.3,-0.9154754838709678,0.055579612903225814
-11.200000000000001,-0.9210167741935483,0.05392774193548388
-11.100000000000001,-0.9264825806451612,0.05243741935483873
-11.000000000000002,-0.9319483870967741,0.05094709677419357
-10.900000000000002,-0.9369406451612903,0.04965354838709679
-10.800000000000002,-0.9419329032258064,0.04836000000000002
-10.700000000000003,-0.9459458064516129,0.0470297419354839
-10.600000000000003,-0.9489793548387097,0.045662774193548424
-10.500000000000004,-0.9520129032258063,0.04429580645161295
-10.400000000000004,-0.9530877419354838,0.04301322580645166
-10.300000000000004,-0.9541625806451612,0.04173064516129037
-10.200000000000005,-0.954007741935484,0.04055051612903231
-10.100000000000005,-0.9526232258064516,0.03947283870967747
-10.000000000000005,-0.9512387096774194,0.03839516129032264
-9.900000000000006,-0.9495483870967742,0.03708716129032265
-9.800000000000006,-0.9478580645161292,0.03577916129032266
-9.700000000000006,-0.9443225806451616,0.03472316129032263
-9.600000000000007,-0.9389419354838713,0.03391916129032264
-9.500000000000007,-0.9335612903225811,0.03311516129032264
-9.400000000000007,-0.9270967741935489,0.03257825806451617
-9.300000000000008,-0.9206322580645167,0.03204135483870972
-9.200000000000008,-0.9143387096774199,0.03142593548387102
-9.100000000000009,-0.9082161290322586,0.030732000000000058
-9.000000000000009,-0.9020935483870973,0.03003806451612909
-8.90000000000001,-0.8954045161290328,0.029487096774193595
-8.80000000000001,-0.8887154838709684,0.028936129032258118
-8.70000000000001,-0.881976774193549,0.028297548387096846
-8.60000000000001,-0.8751883870967748,0.02757135483870975
-8.50000000000001,-0.8684000000000007,0.026845161290322658
-8.400000000000011,-0.8607329032258073,0.02621058064516136
-8.300000000000011,-0.8530658064516137,0.02557600000000007
-8.200000000000012,-0.8451761290322589,0.02508490322580649
-8.100000000000012,-0.8370638709677429,0.024737290322580686
-8.000000000000012,-0.8289516129032268,0.024389677419354883
-7.900000000000013,-0.8201090322580656,0.02400980645161295
-7.800000000000013,-0.8112664516129043,0.023629935483871017
-7.7000000000000135,-0.8012780645161305,0.023282838709677463
-7.600000000000014,-0.7901438709677435,0.0229685161290323
-7.500000000000014,-0.7790096774193564,0.02265419354838714
-7.400000000000015,-0.7682522580645177,0.02202077419354848
-7.300000000000015,-0.7574948387096789,0.021387354838709773
-7.200000000000015,-0.7466270967741951,0.020919806451612948
-7.100000000000016,-0.7356490322580662,0.020618129032258112
-7.000000000000016,-0.7246709677419372,0.020316451612903273
-6.900000000000016,-0.7133264516129051,0.020000709677419404
-6.800000000000017,-0.7019819354838729,0.019684967741935535
-6.700000000000017,-0.6908806451612922,0.019404967741935526
-6.600000000000017,-0.6800225806451632,0.019160709677419396
-6.500000000000018,-0.669164516129034,0.01891645161290327
-6.400000000000018,-0.658612258064518,0.018496838709677495
-6.3000000000000185,-0.6480600000000019,0.018077225806451692
-6.200000000000019,-0.6371264516129053,0.017738064516129082
-6.100000000000019,-0.6258116129032278,0.01747935483870973
-6.0000000000000195,-0.6144967741935505,0.017220645161290377
-5.90000000000002,-0.6044154838709697,0.01700077419354843
-5.80000000000002,-0.5943341935483891,0.016780903225806495
-5.700000000000021,-0.5839761290322601,0.016523354838709738
-5.600000000000021,-0.5733412903225827,0.016228129032258128
-5.500000000000021,-0.5627064516129054,0.015932903225806514
-5.400000000000022,-0.5524264516129054,0.015675354838709733
-5.300000000000022,-0.5421464516129054,0.015417806451612961
-5.200000000000022,-0.5320645161290344,0.015142645161290389
-5.100000000000023,-0.5221806451612925,0.014849870967742002
-5.000000000000023,-0.5122967741935507,0.014557096774193617
-4.9000000000000234,-0.5014980645161315,0.014265870967742005
-4.800000000000024,-0.4906993548387122,0.013974645161290393
-4.700000000000024,-0.48018516129032507,0.01371638709677425
-4.6000000000000245,-0.4699554838709702,0.013491096774193606
-4.500000000000025,-0.4597258064516154,0.01326580645161296
-4.400000000000025,-0.44925483870967997,0.013079741935483918
-4.300000000000026,-0.43878387096774457,0.012893677419354887
-4.200000000000026,-0.4280412903225834,0.012705354838709729
-4.100000000000026,-0.41702709677419636,0.012514774193548439
-4.000000000000027,-0.4060129032258093,0.012324193548387149
-3.9000000000000266,-0.39609161290322836,0.012171935483871008
-3.8000000000000265,-0.38617032258064765,0.01201967741935488
-3.7000000000000264,-0.37600838709677686,0.01186974193548391
-3.6000000000000263,-0.36560580645161556,0.011722129032258104
-3.500000000000026,-0.35520322580645425,0.011574516129032299
-3.400000000000026,-0.3443748387096802,0.011423161290322621
-3.300000000000026,-0.33354645161290597,0.011271806451612944
-3.200000000000026,-0.32355096774193776,0.01113619354838713
-3.100000000000026,-0.3143883870967765,0.011016322580645194
-3.0000000000000258,-0.30522580645161523,0.010896451612903257
-2.9000000000000257,-0.2947277419354865,0.01077077419354842
-2.8000000000000256,-0.28422967741935745,0.010645096774193582
-2.7000000000000255,-0.27430967741935713,0.010537870967741957
-2.6000000000000254,-0.26496774193548617,0.010449096774193572
-2.5000000000000253,-0.25562580645161515,0.010360322580645183
-2.4000000000000252,-0.24561161290322825,0.0102733548387097
-2.300000000000025,-0.23559741935484113,0.010186387096774215
-2.200000000000025,-0.2257967741935507,0.010113354838709693
-2.100000000000025,-0.21620967741935712,0.010054258064516144
-2.000000000000025,-0.2066225806451636,0.009995161290322596
-1.9000000000000248,-0.19726516129032484,0.009956064516129043
-1.8000000000000247,-0.1879077419354861,0.009916967741935494
-1.7000000000000246,-0.17849612903226034,0.009885419354838715
