radio,perfil,nombre_archivo
0.15,NACA0012,Coordenadas_NACA0012
0.55,NACA2414,Coordenadas_NACA2414
0.78,NACA2415,Coordenadas_NACA2415
1.1,NACA0010,Coordenadas_NACA0010


