J,Cp(B=10°),Cp(B=20°),Cp(B=30°),Cp(B=40°),Cp(B=50°),Cp(B=60°),Cp(B=70°),Cp(B=80°)
0.0,0.030311821341400286,0.08634874056872299,0.1619587446132838,0.33726191222185536,0.45933679231753416,0.5643984356315164,0.6842154303929672,0.772242354512627
0.013636363636363634,0.030137116253947025,0.08684807629683522,0.16138763237325676,0.3365649270477564,0.4595948001065098,0.5639954352455591,0.684156788314069,0.7725026256500546
0.027272727272727268,0.029946884028293822,0.08733186019670083,0.16081007397294816,0.3358432400760756,0.45985158209930466,0.5635822341432919,0.684094904778198,0.7727656575051801
0.0409090909090909,0.02974148108876367,0.08782520927564892,0.16027012125579834,0.3350962187300838,0.4601068712190035,0.5631591106397169,0.6840303587425016,0.7730324743781083
0.054545454545454536,0.02950445366242155,0.08835040395130694,0.15975756455132972,0.3343232259741481,0.4603603859180249,0.5627263620562886,0.6839637528610943,0.7733041402585736
0.06818181818181818,0.029232912478819005,0.08884981556895667,0.15924539445876432,0.3335236209951644,0.46061183058528127,0.5622843033515674,0.6838957105682343,0.7735817516310112
0.0818181818181818,0.02895151388314808,0.08931299175726401,0.15909990703324672,0.33269675972191315,0.4608608959919821,0.5618332656471334,0.6838268729977433,0.7738664298729524
0.09545454545454544,0.028640854615851502,0.08976126083083662,0.15891610905105333,0.3318419953193114,0.46110725984693873,0.5613735946630628,0.6837578957850983,0.774159313432912
0.10909090909090907,0.028344360149411867,0.09019312188559042,0.15871535294577357,0.33095867856361394,0.4613505879817791,0.5609056490771055,0.6836894457985517,0.7744615499732153
0.12272727272727271,0.02804024905595835,0.0906174190142356,0.15853761767540664,0.33004615824337985,0.4615905308301594,0.56042979882163,0.6836221978444634,0.7747742886539551
0.13636363636363635,0.027726218744258516,0.09104068871538465,0.15863861920517403,0.32910378194992534,0.4618267360309853,0.5599464233324686,0.6835568313898565,0.7750986727177143
0.15,0.02731038129531253,0.09145541616406508,0.15873523721879962,0.32813089581987054,0.4620778539134851,0.5594559097639809,0.6834940273423505,0.7754358325125537
0.1636363636363636,0.026824841651165904,0.09184026691254028,0.15884028273041947,0.32712684493866123,0.4623498117576176,0.5589586511849614,0.6834344649240537,0.7757868790649207
0.17727272727272725,0.02631158186558146,0.0921948308128533,0.15914334419705692,0.3260909358966661,0.4626176698095875,0.558455044770298,0.6833788186720533,0.7761528982865008
0.1909090909090909,0.025748344252793577,0.09252913407946853,0.15949148368160806,0.3250225817826977,0.46288102816624427,0.5579454900035156,0.6833277555938664,0.776534945871403
0.20454545454545453,0.025114252928842187,0.09282908053584392,0.15984842082584366,0.3239210923411469,0.4631394787967618,0.557430386905384,0.6832819325017339,0.7769340429138571
0.21818181818181814,0.024399586924516145,0.09322277181043541,0.16019835757699386,0.32278580908010807,0.4633926061587191,0.5569101343035548,0.6832419935451057,0.7773511722529948
0.23181818181818178,0.023626718553630494,0.09347679293186625,0.16051357923894682,0.3216160724526098,0.463639987777482,0.5563851281576897,0.6832085679561394,0.7777872755309614
0.24545454545454543,0.022808110338691425,0.0936737377410583,0.1622480161348672,0.3204112216643516,0.4638811947960005,0.5558557599536937,0.6831822680186358,0.7782432509340511
0.25909090909090904,0.021959964435062953,0.09381510478708024,0.16339998224715702,0.31917059441468226,0.4641293644012545,0.5553224151795342,0.6831636872666357,0.7787199515737576
0.2727272727272727,0.021051881494102438,0.09391545711103445,0.16451594771625344,0.31789720697268187,0.46438440421441035,0.5547854718936581,0.683153398914962,0.7792181844555335
0.2863636363636363,0.020109405261321055,0.09397098184584264,0.1657444432598215,0.3165948746995356,0.46463234508092194,0.5542452993953875,0.6831519545204123,0.7797387099772504
0.3,0.01918384338641091,0.09395955583067034,0.16694811401253581,0.3152544396900745,0.4648727482625412,0.5537022570048257,0.6831598828690831,0.7802822418964692
0.3136363636363636,0.01819124342879119,0.09390157683138382,0.1681326191995981,0.3138752039439839,0.4651051733027746,0.5531567147887995,0.6831776890825203,0.7808494477051425
0.3272727272727272,0.017109895379703678,0.09380145011150173,0.169303862160887,0.31245646172281893,0.46532917434111015,0.5528802671233221,0.6832058539330457,0.7814409517234562
0.3409090909090909,0.01605696309091098,0.09364926105078675,0.17071300294881225,0.3109974995661689,0.4655443067177078,0.5527652996880736,0.6832448333566846,0.7820573272127274
