J,Ct(B=10°),Ct(B=20°),Ct(B=30°),Ct(B=40°),Ct(B=50°),Ct(B=60°),Ct(B=70°),Ct(B=80°)
0.0,0.13839021695155285,0.27033878100234665,0.30168118053749027,0.25533222532599537,0.20253194046745526,0.17283578296829025,0.1368245002674686,0.08141477576182846
0.013636363636363634,0.13587927405396633,0.2684693384215582,0.3022518434538827,0.2560461969260254,0.20295590475758823,0.1726565060476535,0.13674880406088397,0.08141139163538237
0.027272727272727268,0.13329733517114153,0.26656693294302986,0.30322317847432856,0.2567843303186445,0.203396776795054,0.17247334603143152,0.13666994687934425,0.08140614477154016
0.0409090909090909,0.13065706756849357,0.2646079877348241,0.30392102553959693,0.25754736751649776,0.20385516265139214,0.17228635589858468,0.13658792039291853,0.08139898217179767
0.054545454545454536,0.12796851836075512,0.26267876581642774,0.30443472909394753,0.258336071784804,0.20433168492859818,0.17209559965200427,0.13650272330075075,0.08138984931463332
0.06818181818181818,0.1251710964973942,0.26072076903016644,0.3049324801997339,0.2591512279307845,0.20482698289500026,0.17191679318995925,0.13641436194960832,0.08137870661300763
0.0818181818181818,0.12223175589685145,0.25853867904742145,0.3052911856996898,0.2599936424747973,0.20534172681003499,0.1717452893166494,0.13632285083535214,0.08136550612050333
0.09545454545454544,0.11924863882747255,0.2562482397738805,0.3055320543381206,0.2608641437138095,0.20587655235185487,0.17157151382852295,0.13622821296820475,0.08135020826353506
0.10909090909090907,0.11626992184685297,0.253905057715187,0.3056297058526988,0.26176358169366876,0.206432168953547,0.1713956201169387,0.13613048008950462,0.08133277821200759
0.12272727272727271,0.11321608607254985,0.25152027451948383,0.3061127653737486,0.262698580413353,0.20700928173631034,0.17123953229844605,0.13602969273485122,0.0813131862318031
0.13636363636363635,0.11006628260652328,0.24908319975935195,0.3063693935117612,0.26373353505982666,0.20760864040284968,0.1711121292962276,0.13592590014556089,0.08129140791832323
0.15,0.10704068897963574,0.24660044640618722,0.3065625643325165,0.26483264392603045,0.20823093713190585,0.17098511737997193,0.1358191600367176,0.08126742431083404
0.1636363636363636,0.10386579773355616,0.24410581269616793,0.3068909974823987,0.26608624247516016,0.20887693786366118,0.1708587502936074,0.13570953823542012,0.08124122189290282
0.17727272727272725,0.1006071349201778,0.2416350502029438,0.30708599473629206,0.2673789482200467,0.209547406934195,0.17073329189575853,0.13559710820677093,0.08121279248900666
0.1909090909090909,0.09715470847101362,0.2390449118208013,0.3071816611026828,0.2686193672913142,0.21024312217531313,0.1706090152489255,0.13548195048782238,0.08118213307074157
0.20454545454545453,0.09365197896168984,0.23628377925791505,0.3074334050929393,0.26985165581503967,0.21096487459390303,0.1704932296985572,0.13536415205093016,0.08114924548836425
0.21818181818181814,0.09011269446446721,0.23346560764848662,0.3073505176689716,0.27109796819836984,0.2117134678394252,0.1703891956409897,0.13524380561800323,0.08111413614444309
0.23181818181818178,0.08633496688109685,0.23060230668763582,0.3070840649113161,0.2722889044045338,0.21248971795616237,0.17028805605012032,0.13512100894616424,0.08107681562638737
0.24545454545454543,0.08247940586367505,0.22819095486454258,0.3067791933868806,0.2736040416569872,0.21329445304996988,0.1702286080497234,0.13499586410357053,0.08103729831375481
0.25909090909090904,0.07860383506427548,0.2255264752067311,0.30688445748900167,0.27485352330251567,0.2141419817062691,0.17020824115371538,0.1348684767518561,0.08099560197471872
0.2727272727272727,0.07464860696225187,0.2225335679129847,0.30660596352962627,0.27620609707395244,0.21502167336583577,0.17019449318321406,0.1347389554490578,0.08095174736414185
0.2863636363636363,0.07063779410648967,0.21936009493637276,0.3061626773019219,0.27756910148429254,0.2159321579863328,0.17018779577896928,0.13460741098419168,0.08090575783354118
0.3,0.06655446439372158,0.21615719665919061,0.305735788119323,0.27896503495468783,0.21687426323865747,0.17018858694516556,0.13447395575200563,0.08085765896102413
0.3136363636363636,0.06229113457854013,0.21292502670683777,0.3053734776951594,0.28030434433030715,0.217848762502187,0.17019730920049705,0.13433870317397034,0.08080747820715187
0.3272727272727272,0.05800747935041158,0.20965183020081218,0.3047853768808939,0.2820078441382665,0.21885650046274838,0.1702144153561667,0.13420176716937035,0.08075524460074576
0.3409090909090909,0.05366747598167383,0.20634971813141492,0.30427613420910227,0.2832582740259448,0.21989831185243666,0.17024035775765461,0.13406326167844831,0.0807009884569499
0.3545454545454545,0.04924054260263721,0.20300364638695853,0.3042597368560262,0.2844651592625003,0.22097504135839613,0.17029370145945744,0.1339233002379762,0.08064474112843306
0.3681818181818181,0.0448758526053601,0.1995714130604052,0.30350134799399936,0.2856691420370157,0.2220875438241063,0.17044195800366857,0.1337819956083519,0.08058653478945726
0.3818181818181818,0.04051409361851218,0.19596861715043773,0.3025255983442414,0.28690007990128563,0.22323784224033455,0.17060657885933486,0.1336395334129557,0.08052645728757668
0.3954545454545454,0.03616724466813636,0.19229903825044142,0.30175194192452576,0.28806746692070967,0.2244283687291241,0.1707853920965151,0.13349608428649157,0.08046458900834154
0.40909090909090906,0.031809898013381986,0.18857787040718602,0.30075923001212473,0.2893361040300587,0.22565874271558475,0.17097885234431298,0.13335164874047875,0.08040088423260203
0.4227272727272727,0.027520554475242924,0.18480774035100342,0.2996277850016411,0.2906560482481899,0.2269300864107296,0.1711875614308586,0.13320633505108836,0.08033537810673598
0.4363636363636363,0.023127335735227742,0.18096423904855427,0.2983004022318651,0.2918891568100152,0.22824354184614384,0.171412128868478,0.13308111832288583,0.08026810598036552
0.44999999999999996,0.01871814447394993,0.1768863525827813,0.29694250443217396,0.2931288360883959,0.22960027136317146,0.1716531713792725,0.13299170954058925,0.0801991033465325
0.46363636363636357,0.014317463350500256,0.17282929373343003,0.2955977052921048,0.29418392445758873,0.23100145814531656,0.17194126794160522,0.1329192224992778,0.0801284057991205
0.47727272727272724,0.010006514100759934,0.16870432634489524,0.29393969197765074,0.295261027981696,0.23244830678754883,0.17234607752298797,0.132854696177188,0.0800560490051049
0.49090909090909085,0.0058410853541723965,0.16462022864925366,0.29233693122359655,0.2965454630608265,0.23394204389693152,0.1727732011658292,0.1328015382466656,0.07998206868939006
0.5045454545454545,0.001720026759254561,0.16046833094574575,0.2908326236494815,0.2978851197708953,0.23548391871972618,0.17322332237360422,0.13275314656885182,0.07990650063018606
0.5181818181818181,0.0,0.15623673010415576,0.28902748789888444,0.29879169049074045,0.23707092100980612,0.1736971649849573,0.1327100936345009,0.0798293806630889
0.5318181818181817,0.0,0.15195822744127815,0.2869768904119894,0.29966670918897365,0.2387503770593527,0.17419545297584732,0.1326726628467092,0.0797507446922377
0.5454545454545454,0.0,0.14771163721727013,0.2848283395346253,0.3004203502008191,0.24056808194963888,0.1747189185689249,0.13264088803116492,0.0796706287071232
0.559090909090909,0.0,0.14350332935125384,0.2831785295797126,0.30154135002112153,0.24236093044172685,0.17526830248246797,0.132615042425777,0.07958906880381564
0.5727272727272726,0.0,0.13931240146812277,0.2811278315344595,0.3027025023460939,0.2443069264366994,0.17591701742245422,0.13259540253772106,0.07950610120955846
0.5863636363636363,0.0,0.1350799016902157,0.2788736744821824,0.30362087309379493,0.24636819263005302,0.17668801982383495,0.1325822481611476,0.07942176230983322
0.6,0.0,0.13086995249078695,0.27649557800491537,0.30452513677099197,0.2483493170984791,0.17749195720324706,0.13259101172431972,0.07933608867715088
0.6136363636363635,0.0,0.12642726667732646,0.2739399331185463,0.30521641217790146,0.2503209222376168,0.17832967627488258,0.13265051188405844,0.0792491171009498
0.6272727272727272,0.0,0.12200313788908404,0.2712280521153188,0.305978679419743,0.25227778101910353,0.17920203476620922,0.13272004328547904,0.07916088461809567
0.6409090909090909,0.0,0.11771555894593423,0.2684088567629824,0.3065616209207439,0.2541899869234681,0.18010990186871262,0.13279994760473413,0.07907142854357826
0.6545454545454544,0.0,0.11353363739375943,0.265733089505105,0.30709217069268063,0.25599667285006206,0.18105415871163905,0.13289057076998614,0.07898078650107991
0.6681818181818181,0.0,0.10936395134761943,0.26314304483118395,0.3074534709131019,0.2580055151616572,0.1820356988229891,0.13299226306985454,0.07888899645316888
0.6818181818181818,0.0,0.10505514234709927,0.26028470397233755,0.3078615402043991,0.2599017224448911,0.18307063350018798,0.13310537931193273,0.07879609673092658
0.6954545454545453,0.0,0.10046032195519862,0.2574153459958705,0.3079261303267824,0.2617654507878097,0.1843281476080866,0.1332302789623892,0.07870212606287193
0.709090909090909,0.0,0.09591598674429305,0.2544231331674879,0.3082218040914649,0.26389189157574944,0.18562910263525687,0.13336551573742106,0.07860712360308746
0.7227272727272727,0.0,0.09140732695732709,0.25123172242583786,0.3089618531741581,0.26615825178881164,0.18697436381625923,0.13351217358724596,0.07851112895848679
0.7363636363636362,0.0,0.08682210031991004,0.2480080122395749,0.3094655345585559,0.26800556627721894,0.1883648086347614,0.1336710072971292,0.07841430170479814
0.7499999999999999,0.0,0.08203379791420777,0.24444531679674228,0.30960848101452487,0.2699928030916075,0.1898013260890597,0.13385484223564026,0.07831267157774936
0.7636363636363636,0.0,0.0768565273725967,0.24075060746698396,0.3096110108122986,0.27190999445012354,0.1912848173921838,0.13411407713521703,0.07820743217255381
0.7772727272727272,0.0,0.07163786344380432,0.23699315255942727,0.3094451507593951,0.27376308874573807,0.19281114002955127,0.13438954659841076,0.07810594815349493
0.7909090909090908,0.0,0.06650368136990212,0.23331930813837035,0.3091682996580785,0.27569014034067096,0.1943849278887283,0.13468160729977466,0.07801867396145912
0.8045454545454545,0.0,0.061464666687429774,0.22970229859305752,0.3087373463714188,0.277540809827992,0.19600769590455683,0.13499061997616646,0.077933263122645
0.8181818181818181,0.0,0.056430199926554396,0.22600084037533338,0.3083482635885535,0.2792817871133473,0.19768037247682743,0.1353165615960723,0.07784980370200908
0.8318181818181817,0.0,0.05133435061099435,0.22246964061624358,0.3079193338911964,0.28099408899277745,0.1994038785681222,0.13565988611461582,0.07776838606759069
0.8454545454545453,0.0,0.04609173413818934,0.2186744756779844,0.3076440189448474,0.2826361526865782,0.2011791485983097,0.13602109058422232,0.07770717908194386
0.859090909090909,0.0,0.04101080184594875,0.2147802742222268,0.307376174240929,0.2842381169829923,0.20300713085094504,0.13640052394089022,0.07766309678826461
0.8727272727272726,0.0,0.03595122043656233,0.21101133097862637,0.30718227288479744,0.2862221710319824,0.20488878790269463,0.1367985529632807,0.07762351857510995
0.8863636363636362,0.0,0.030634087299460558,0.20725114466323746,0.30738891246126404,0.28794495793958336,0.20682509705017021,0.13721554454555143,0.07758854856909857
0.8999999999999999,0.0,0.024519787826364183,0.20351681984217113,0.3074829362891372,0.28964585058237974,0.2087922140035319,0.13768572154314662,0.07755831795603635
0.9136363636363635,0.0,0.018326486062045264,0.19976801957284224,0.30743838628787695,0.291269844615633,0.21082675021249153,0.1382363067247764,0.07753296161747109
0.9272727272727271,0.0,0.01208274307267055,0.19595879158080187,0.30726841209854727,0.2928423940829802,0.21297620075512483,0.1388105688545772,0.07751261583769996
0.9409090909090908,0.0,0.006005136907431085,0.19219580585717919,0.30693873048116366,0.2945244434780623,0.2151576699612147,0.13940893608467952,0.07749742215162989
0.9545454545454545,0.0,1.7929801041199064e-05,0.18844636482491448,0.30621336316265213,0.29613997821293964,0.2174263787312345,0.1400318422326855,0.0774875245090823
0.968181818181818,0.0,0.0,0.18461768904041098,0.3054528707749744,0.2977789986933123,0.2196965722706452,0.14067972695095235,0.07748307009253587
0.9818181818181817,0.0,0.0,0.180520758767979,0.30444407902545123,0.2993771731335621,0.22191245306975416,0.14135303589183573,0.07748420933100274
0.9954545454545454,0.0,0.0,0.17641981210372695,0.3031089354648589,0.3009039987652981,0.22426959623855885,0.14205222086929642,0.07749109591368274
1.009090909090909,0.0,0.0,0.1720917035867352,0.30186657645477083,0.302425598074343,0.22662029538932146,0.142777740065393,0.07750388680360329
1.0227272727272725,0.0,0.0,0.16766041989709454,0.3006685546330977,0.3039810325861003,0.22903108669626662,0.1435300580712028,0.07752274225144451
1.0363636363636362,0.0,0.0,0.16328930131710195,0.2994841521392124,0.30558665515910877,0.23144076298408497,0.1443096461121078,0.07754782580972877
1.0499999999999998,0.0,0.0,0.15892105301244427,0.2985900390560495,0.3070105716968574,0.23378375340426022,0.1452064581198949,0.07759003663292521
