t,Beta_opt,x,C,a,Fd,T,W,eta
0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
1,-0.1,0.0,0.0,0.0,0.0,0,0.0,0
2,-0.2,0.0,0.0,0.0,0.0,0,0.0,0
3,-0.30000000000000004,0.0,0.0,0.0,0.0,0,0.0,0
4,-0.4,0.0,0.0,0.0,0.0,0,0.0,0
5,-0.5,0.0,0.0,0.0,0.0,0,0.0,0
6,-0.6000000000000001,0.0,0.0,0.0,0.0,0,0.0,0
7,-0.7000000000000002,0.0,0.0,0.0,0.0,0,0.0,0
8,-0.8000000000000003,0.0,0.0,0.0,0.0,0,0.0,0
9,-0.9000000000000004,0.0,0.0,0.0,0.0,0,0.0,0
10,-1.0000000000000004,0.0,0.0,0.0,0.0,0,0.0,0
