J,Ct(B=10°),Ct(B=20°),Ct(B=30°),Ct(B=40°),Ct(B=50°),Ct(B=60°),Ct(B=70°),Ct(B=80°)
0.13636363636363635,0.07717481822962015,0.1928294325262948,0.21059873801793338,0.19345295925674102,0.16443012060263865,0.13673756986040653,0.11099033955147632,0.06940960006260087
0.15,0.07452043435355826,0.19136486914598777,0.21140506232713108,0.19382062181117143,0.16471375855284698,0.13649153680438408,0.11085603722251733,0.06932585608480075
0.1636363636363636,0.07171306982815173,0.18982332171593705,0.21203771633304572,0.19420261581961815,0.16502202152870515,0.13624099685158492,0.11071850760829285,0.06923908997786217
0.17727272727272725,0.06886687905221184,0.18821403241287735,0.21306812701208605,0.19459947497985564,0.1653422514881948,0.13598607230642556,0.11057783106463882,0.06914932343276821
0.1909090909090909,0.0659347867605287,0.18654277083199405,0.21440179037507354,0.19501171169206777,0.16567483845003123,0.1357268930517732,0.1104340939150469,0.06905658185393218
0.20454545454545453,0.06287479851999327,0.184799218655585,0.2149905060095749,0.19543988262127443,0.16602017702644079,0.1354635957532998,0.11028738786052121,0.06896089391099554
0.21818181818181814,0.05968500661522707,0.18330202407708962,0.21539931933963782,0.1958845461292973,0.166378665969922,0.1351963230239347,0.11013780934839096,0.06886229108195775
0.23181818181818178,0.05640164824176765,0.18144725229214,0.21559202557328588,0.19634627219003634,0.16675070775817738,0.13492522256662434,0.10998545891647078,0.06876080719903606
0.24545454545454543,0.0530627932628509,0.17948053590464466,0.2292029142661951,0.1968256421599299,0.16713670830450317,0.13465044631222925,0.10983044052809585,0.06865647800736263
0.25909090909090904,0.04983324850931611,0.1774126510817678,0.23376253682377834,0.1973232485979301,0.167543847254429,0.13437214956755175,0.1096728609121309,0.06854934074504433
0.2727272727272727,0.04642641633298202,0.17527806031956997,0.23479926442519952,0.19784296399477466,0.16797314060366617,0.1340904901863748,0.10951282892023755,0.06843943375137179
0.2863636363636363,0.042996771195603724,0.17307104178414925,0.23592769863113913,0.19838950636540273,0.16841843361238673,0.13380562777415567,0.10935045491164727,0.0683267961082023
