C,T(B=10°),T(B=20°),T(B=30°),T(B=40°),T(B=50°),T(B=60°),T(B=70°),T(B=80°)
135,0,0,0,737.4983718012612,4464.718136731868,5054.7037386043385,3923.6742784868075,1761.3987272698466
136,0,0,0,638.8567318589962,4440.464307759364,5080.0025384973915,3962.7309119264787,1788.0938397020725
137,0,0,0,540.2130202873267,4414.443104468751,5105.3718054263245,4002.151890359855,1815.4209074221465
138,0,0,0,440.5154487424055,4384.443355541789,5131.021752626276,4042.0232172978426,1841.4277816036667
139,0,0,0,338.2564338169922,4363.926976232909,5157.148334916863,4082.8101886042764,1869.1453654692164
140,0,0,0,233.69829841900335,4367.431766035668,5185.200306534767,4125.434308390122,1897.8793956796721
141,0,0,0,130.66695572751345,4365.5369650642515,5213.777370432091,4168.167916841375,1927.0959279098695
142,0,0,0,25.153267380665813,4362.157440364186,5247.691834430788,4211.266938179444,1956.6759444607817
143,0,0,0,0,4354.238039630428,5280.166538236154,4254.920722912408,1986.6947192714154
144,0,0,0,0,4342.770771346763,5311.723410446202,4299.150693304609,2017.1182488371662
145,0,0,0,0,4328.896702809614,5343.492324280386,4344.030966619099,2047.9350744189105
146,0,0,0,0,4313.460733676838,5373.895819056681,4389.532424616263,2079.28238035629
147,0,0,0,0,4296.3283601479425,5404.049779219261,4435.728986096683,2111.582635779134
148,0,0,0,0,4276.05999737747,5433.984271662605,4481.376058471099,2145.3235408113815
149,0,0,0,0,4251.783285132283,5464.685219955714,4527.5289418839875,2179.313015757079
150,0,0,0,0,4226.053520389566,5495.878187916969,4573.5885464734465,2213.7942614766034
151,0,0,0,0,4195.396661614884,5525.885715768935,4619.6343124240775,2246.059792670091
152,0,0,0,0,4156.891298765297,5554.304077485395,4666.007971111969,2280.037264795839
153,0,0,0,0,4113.87572804491,5582.685919550705,4712.808581787315,2315.056834138263
154,0,0,0,0,4064.880813349987,5609.740587730227,4760.136327976958,2351.5787899138604
155,0,0,0,0,4012.2003942840433,5635.27266757918,4807.766650070311,2388.6263309106434
156,0,0,0,0,3957.4965941323476,5659.135788829115,4855.570177687002,2426.2104609650605
157,0,0,0,0,3899.4963226061764,5681.156368843157,4906.8749548724445,2464.4853804001527
158,0,0,0,0,3839.019517863852,5698.194727573428,4958.276145035949,2503.325085597115
159,0,0,0,0,3776.1909843703647,5708.471483702563,5000.10839231705,2543.153068525023
160,0,0,0,0,3705.7264949018577,5717.412705898171,5040.375939648842,2578.930918445294
161,0,0,0,0,3630.8335998480698,5733.237450817327,5080.683018585899,2612.6233027274775
162,0,0,0,0,3554.2923990417075,5755.074274417443,5120.795615390145,2646.726513034419
163,0,0,0,0,3476.093865787413,5774.1464836103305,5160.287333935608,2681.137609465899
164,0,0,0,0,3397.0694876898538,5791.367898978795,5199.270481987402,2716.0337195687875
165,0,0,0,0,3318.1338878155275,5807.9068734298235,5238.202034092499,2750.850257503937
166,0,0,0,0,3239.9524110111192,5824.186920552257,5276.893649839619,2786.068354165275
167,0,0,0,0,3159.460881116561,5839.230242738772,5316.002904623591,2821.593480677491
168,0,0,0,0,3085.5614812017157,5854.995843793663,5355.5912763062115,2857.5497332343484
169,0,0,0,0,3009.4688676105097,5869.618457081599,5395.772340355717,2893.9737684870797
170,0,0,0,0,2928.7562079293984,5884.467628945224,5437.158136237349,2931.021422711802
171,0,0,0,0,2845.463609570218,5899.418956910517,5480.292476117219,2968.6164811234257
172,0,0,0,0,2761.48422874445,5912.758327328802,5523.850889293629,3006.697581535887
173,0,0,0,0,2676.204298681799,5923.596478180798,5567.5843155754255,3045.6683070851495
174,0,0,0,0,2589.6829015826247,5933.115650946587,5611.723509370641,3085.543076522172
175,0,0,0,0,2501.0503430614212,5940.960304484147,5654.377054576203,3125.7649831776403
176,0,0,0,0,2409.1484959210898,5947.2912165172565,5700.109207188512,3166.459966274411
177,0,0,0,0,2315.6141954517475,5953.065901698349,5746.007216215199,3207.9184301714668
178,0,0,0,0,2223.4873757738665,5958.241252874812,5792.392451107637,3250.151403138305
179,0,0,0,0,2129.0778331827682,5961.0428827949345,5838.20690746916,3292.9996317468394
180,0,0,0,0,2033.2050810402866,5962.982723260679,5884.2857765327735,3336.474539435237
181,0,0,0,0,1938.1513313189732,5980.45749053682,5931.113320352273,3377.5789289939776
182,0,0,0,0,1844.9637274717945,6006.332031993266,5978.344857289378,3418.020261335826
183,0,0,0,0,1753.2407298953576,6023.1877722058725,6020.639359235527,3459.126345138426
184,0,0,0,0,1660.3562373803586,6032.745549220021,6056.536388147786,3500.7659385945203
185,0,0,0,0,1568.7027171067373,6039.976523546008,6092.937247516507,3532.903901239982
186,0,0,0,0,1469.1391172911995,6040.9418918520205,6131.343131279382,3565.2214975657553
187,0,0,0,0,1367.9828014331965,6039.5983164115605,6169.585071938002,3597.349336344797
188,0,0,0,0,1266.4469569869057,6034.66102438791,6207.819520353825,3629.723317347709
189,0,0,0,0,1165.4271891996154,6027.006807041428,6245.281468539545,3662.323388631697
190,0,0,0,0,1063.6199638300538,6016.330920555901,6281.765156552729,3695.0538612779774
191,0,0,0,0,962.7755822792235,6007.419592017242,6317.60252663665,3728.2683356687357
192,0,0,0,0,859.6414678929033,5999.139551856119,6352.33712065366,3762.2025296731917
193,0,0,0,0,757.2094011192403,5985.15797872987,6386.111576300721,3796.795788257028
194,0,0,0,0,654.208086047444,5968.540239871694,6419.369597795196,3833.5409465701987
195,0,0,0,0,549.9802414440138,5948.129294420276,6452.0715259358285,3870.6429965433986
196,0,0,0,0,443.2064971640125,5925.737805601138,6484.979041914966,3907.919520904101
197,0,0,0,0,336.04749451502147,5902.507266588225,6517.842386738661,3945.4030834239975
198,0,0,0,0,224.8274362613991,5876.584169187743,6550.641387962009,3982.795828017359
199,0,0,0,0,112.03885988495264,5848.618321342292,6583.677056525007,4017.682847904897
200,0,0,0,0,0,5818.5051089507215,6616.849986293716,4055.8273854802947
201,0,0,0,0,0,5794.1722545657485,6650.266037990785,4094.5245708311554
