C,W(B=10°),W(B=20°),W(B=30°),W(B=40°),W(B=50°),W(B=60°),W(B=70°),W(B=80°)
116,0,0,0,316087.1448687395,732714.69421295,1126764.7628452636,1364523.8617815706,1510203.2626371856
117,0,0,0,308785.790313009,731563.6239136683,1130243.344107664,1373008.0567120006,1517661.163436948
118,0,0,0,301565.55644961935,730332.1419554221,1133793.7890031193,1381537.7386640161,1525199.6220818008
119,0,0,0,294317.3897380656,729032.1341442885,1137268.7221577398,1390102.5767464729,1532819.3038086032
120,0,0,0,286708.7649786514,727338.1276257535,1140696.8669776802,1398707.1380361114,1540520.8961588475
121,0,0,0,279064.9832084592,725439.9625511339,1144089.8941427441,1407537.7853437746,1548305.103244258
122,0,0,0,271163.75095263077,723288.8325500818,1148630.048695251,1416414.686026643,1556172.652905739
123,0,0,0,262774.3731401416,720934.3472623769,1152919.4750175294,1425294.63344046,1564124.295041331
124,0,0,0,253876.31262391768,719143.1522738008,1157241.6705850484,1434214.9911346266,1572904.937602472
125,0,0,0,244567.41700967262,719631.9237954139,1161490.2222296575,1443214.9560412786,1581934.8752898572
126,0,0,0,235240.21637733193,719860.402526822,1165623.9072938983,1452213.0551982152,1591059.390113086
127,0,0,0,226012.36488429856,719772.7378672031,1169477.2652367218,1461229.4901923628,1600279.4461763457
128,0,0,0,216576.46958275334,719449.3992991148,1173150.8716973145,1470448.5259275967,1609596.036298299
129,0,0,0,206738.45650016586,718548.3917171898,1176994.7826018424,1479867.925043662,1619010.1817181003
130,0,0,0,196592.61346142605,717044.733945244,1180611.6582709972,1489303.8932654166,1628523.0049253416
131,0,0,0,186075.38061489104,715098.0429284238,1184110.8195845045,1498678.1760864072,1638135.4478645537
132,0,0,0,175526.24086925224,712829.6200396434,1187471.4975154568,1508043.6142552188,1647848.6893910998
133,0,0,0,165112.70188197045,710667.9471725039,1190722.338211265,1517432.1743712574,1657663.8733279924
134,0,0,0,154591.6913277894,708442.4834226334,1193894.2221357313,1526840.9658804066,1667582.1763159377
135,0,0,0,143671.2849254072,705667.471146371,1197129.0473281874,1536294.3125283364,1677604.8084726436
136,0,0,0,132597.27556921024,702713.952644117,1200239.8186086724,1545793.318126879,1687733.0170151556
