t,x,C,a,Fd,T,W
25,684.095113810396,50.297637832963034,1.9350099607053952,496.6979488991815,5294.8549519692615,1676627.0838819824
26,736.3392344179592,52.24412060756322,1.9464827746001878,535.885535073889,5344.369843694234,1689200.1716842258
27,790.5425168055431,54.20328238758381,1.959161780020594,576.8306937009789,5397.909269144198,1702063.7234083281
28,846.7189231066628,56.17640630111977,1.9731239135359575,619.5909906691483,5455.702661836352,1715227.227735416
29,904.8837819053618,58.16485879869898,1.9884524975792126,664.2300877300648,5517.999157551619,1728701.2310405571
30,965.0538790087923,60.170097103430415,2.005238304731437,710.8183201130215,5585.070658796098,1742497.535684999
31,1027.2475567054864,62.19367769669416,2.023580593263743,759.4333502771105,5657.214862370397,1756629.3172105637
32,1091.4848226828165,64.23726597733018,2.0435882806360217,810.1609099843021,5734.758690890896,1771111.2578646555
33,1157.7874699447104,66.30264726189401,2.065381284563834,863.0956451708116,5818.062212727886,1785959.7012470237
34,1226.1791954021148,68.39172545740448,2.089078195510474,918.3417083860129,5907.486788084322,1801190.6068415092
35,1296.6855958112137,70.50640040909892,2.114674951694436,976.010014452142,6003.0772812451605,1816800.121660685
36,1369.3344350454877,72.64883923427398,2.1424388251750597,1036.2261479793249,6105.593530046218,1832826.803689014
37,1444.1558153038798,74.82138025839207,2.172541024118085,1099.128878846948,6215.55143032344,1849293.8698067083
38,1521.182368329292,77.02655302541221,2.205172767020148,1164.8717540434454,6333.526453410268,1866227.179870124
39,1600.4494696363495,79.26710130705737,2.240548281645167,1233.6249419908618,6460.162389526026,1883655.581660415
40,1681.9954792865835,81.54600965023398,2.2789083431766137,1305.577377620981,6596.181647815099,1901611.3183346877
41,1765.862013723602,83.86653443701857,2.320524786784594,1380.9392778808315,6742.3982828746375,1920130.6071680577
42,1852.0941278132577,86.23211408965557,2.3655796526369897,1459.940830537152,6899.402149345845,1939221.8510557238
43,1940.7407369860973,88.64660917283965,2.414495083184077,1542.8419675479506,7068.424160718048,1958949.6255012893
44,2031.8550101225442,91.11427313644683,2.4676639636071833,1629.9339943831242,7250.634614279096,1979364.4815314296
45,2125.4948126709487,93.63980254840483,2.5255294119580047,1721.5441553178484,7447.3527840454,2000522.1477485478
46,2221.723215493983,96.22840282303399,2.588600274629163,1818.0412918278794,7660.0901621467965,2022486.0304174747
47,2320.6090819264273,98.88586643244443,2.65746360941044,1919.8426437799014,7890.5864152323775,2045328.6231020342
48,2422.2277484698493,101.61866654342191,2.7328001109774855,2027.422076513281,8140.853727685923,2069133.258403427
49,2526.6618183345176,104.43406986466813,2.815403321246219,2141.3201013246935,8413.231912472485,2093996.305162857
50,2634.0019356671023,107.34011733258453,2.906047467916391,2262.149583747372,8710.046588199633,2119992.1948640095
51,2744.3476747395507,110.34573907244827,3.00562173986374,2390.6077516863647,9033.965373407817,2147202.8389373086
52,2857.8090380894273,113.46136334987645,3.115624277428189,2527.511749867143,9389.303990466287,2175831.580192888
53,2974.5079721512498,116.6989340618222,3.237570711945755,2673.8126036050403,9780.49071855705,2206054.571301797
54,3094.580192869637,120.07222071838756,3.3732866565653485,2830.6245799735734,10212.843890309216,2238083.7123557916
55,3218.177009355818,123.5968164861811,3.5245957677935373,2999.243712395583,10691.767618603337,2272088.3785890685
56,3345.4678012349796,127.29079187916179,3.6939753929806916,3181.201395132285,11224.488522459786,2308333.9872355238
57,3476.643663860709,131.1758626257295,3.8850707465677137,3378.3531471757465,11821.44108063647,2347281.7326737633
58,3611.921242694461,135.27757883375185,4.101716208022349,3592.9306221532916,12493.741181598933,2389357.5068703983
59,3751.5402186693905,139.61897597492987,4.341397141178017,3827.2434150659456,13235.98545172524,2435686.667977188
60,3895.7488903767817,144.20867170739115,4.589695732461278,4083.0052747715313,14011.429107644779,2515610.5133499512
