Alpha,Cl,Cd
-17.5,-1.015375,0.09665499999999999
-17.4,-1.024665,0.09341799999999996
-17.299999999999997,-1.0339550000000002,0.09018099999999991
-17.199999999999996,-1.0424200000000003,0.08714799999999988
-17.099999999999994,-1.0500600000000004,0.08431899999999984
-16.999999999999993,-1.0577000000000005,0.08148999999999981
-16.89999999999999,-1.0641900000000006,0.07894499999999978
-16.79999999999999,-1.0706800000000007,0.07639999999999975
-16.69999999999999,-1.0767350000000007,0.07394949999999974
-16.599999999999987,-1.0823550000000006,0.0715934999999997
-16.499999999999986,-1.0879750000000008,0.0692374999999997
-16.399999999999984,-1.0925950000000009,0.06708749999999966
-16.299999999999983,-1.097215000000001,0.06493749999999963
-16.19999999999998,-1.1014400000000006,0.06287399999999964
-16.09999999999998,-1.1052700000000009,0.060896999999999604
-15.99999999999998,-1.1091000000000006,0.058919999999999646
-15.89999999999998,-1.1121700000000005,0.05710599999999965
-15.799999999999981,-1.1152400000000005,0.055291999999999654
-15.699999999999982,-1.1179400000000004,0.05356199999999969
-15.599999999999982,-1.1202700000000003,0.0519159999999997
-15.499999999999982,-1.1226000000000003,0.05026999999999973
-15.399999999999983,-1.1243300000000005,0.04877899999999974
-15.299999999999983,-1.1260600000000003,0.04728799999999975
-15.199999999999983,-1.1277250000000003,0.04584799999999977
-15.099999999999984,-1.1293250000000001,0.044458999999999776
-14.999999999999984,-1.130925,0.04306999999999982
-14.899999999999984,-1.131385,0.041902999999999815
-14.799999999999985,-1.1318450000000002,0.04073599999999982
-14.699999999999985,-1.13193,0.03965349999999985
-14.599999999999985,-1.13164,0.03865549999999986
-14.499999999999986,-1.1313499999999999,0.03765749999999988
-14.399999999999986,-1.13044,0.03680249999999988
-14.299999999999986,-1.12953,0.03594749999999989
-14.199999999999987,-1.12838,0.03515549999999991
-14.099999999999987,-1.1269899999999997,0.03442649999999991
-13.999999999999988,-1.1256,0.03369749999999991
-13.899999999999988,-1.125,0.03291449999999991
-13.799999999999988,-1.1243999999999998,0.03213149999999991
-13.699999999999989,-1.1233849999999999,0.03143149999999993
-13.599999999999989,-1.1219549999999998,0.030814499999999932
-13.49999999999999,-1.1205249999999998,0.030197499999999947
-13.39999999999999,-1.1186649999999998,0.02971849999999995
-13.29999999999999,-1.1168049999999998,0.02923949999999995
-13.19999999999999,-1.1151149999999999,0.02880199999999996
-13.09999999999999,-1.113595,0.028405999999999963
-12.999999999999991,-1.1120749999999997,0.02800999999999997
-12.899999999999991,-1.1097849999999998,0.02765399999999997
-12.799999999999992,-1.107495,0.02729799999999997
-12.699999999999992,-1.1049349999999998,0.026937999999999972
-12.599999999999993,-1.1021049999999997,0.026573999999999973
-12.499999999999993,-1.0992749999999998,0.026209999999999973
-12.399999999999993,-1.0963349999999998,0.025849999999999974
-12.299999999999994,-1.0933949999999997,0.025489999999999978
-12.199999999999994,-1.0900949999999998,0.02516649999999998
-12.099999999999994,-1.0864349999999998,0.024879499999999985
-11.999999999999995,-1.0827749999999998,0.024592499999999982
-11.899999999999995,-1.0791749999999998,0.024279499999999985
-11.799999999999995,-1.0755749999999997,0.023966499999999984
-11.699999999999996,-1.0720999999999998,0.023627999999999986
-11.599999999999996,-1.0687499999999999,0.023263999999999986
-11.499999999999996,-1.0654,0.022899999999999993
-11.399999999999997,-1.06067,0.02263699999999999
-11.299999999999997,-1.0559399999999999,0.02237399999999999
-11.199999999999998,-1.0509049999999998,0.022125499999999992
-11.099999999999998,-1.0455649999999999,0.021891499999999994
-10.999999999999998,-1.040225,0.021657499999999993
-10.899999999999999,-1.035065,0.021377499999999994
-10.799999999999999,-1.0299049999999998,0.021097499999999995
-10.7,-1.02436,0.020846999999999997
-10.6,-1.01843,0.020626
-10.5,-1.0125,0.020405
-10.4,-1.00648,0.020165000000000002
-10.3,-1.0004600000000001,0.019925000000000002
-10.200000000000001,-0.9923150000000002,0.019653
-10.100000000000001,-0.9820450000000002,0.019349000000000005
-10.000000000000002,-0.9717750000000003,0.019045000000000006
-9.900000000000002,-0.9597650000000003,0.018826000000000006
-9.800000000000002,-0.9477550000000003,0.018607000000000005
-9.700000000000003,-0.9356650000000003,0.018392000000000006
-9.600000000000003,-0.9234950000000004,0.018181000000000006
-9.500000000000004,-0.9113250000000004,0.017970000000000007
-9.400000000000004,-0.8998950000000004,0.017670000000000012
-9.300000000000004,-0.8884650000000005,0.01737000000000001
-9.200000000000005,-0.8768200000000006,0.017129500000000006
-9.100000000000005,-0.8649600000000006,0.01694850000000001
-9.000000000000005,-0.8531000000000006,0.01676750000000001
-8.900000000000006,-0.8409000000000006,0.01658450000000001
-8.800000000000006,-0.8287000000000008,0.016401500000000013
-8.700000000000006,-0.8165600000000008,0.016179500000000017
-8.600000000000007,-0.8044800000000008,0.015918500000000016
-8.500000000000007,-0.7924000000000009,0.01565750000000002
-8.400000000000007,-0.779260000000001,0.015509500000000011
-8.300000000000008,-0.766120000000001,0.01536150000000001
-8.200000000000008,-0.753925000000001,0.015174500000000018
-8.100000000000009,-0.742675000000001,0.014948500000000019
-8.000000000000009,-0.731425000000001,0.014722500000000019
-7.900000000000009,-0.7193350000000012,0.014566500000000013
-7.80000000000001,-0.7072450000000012,0.014410500000000015
-7.70000000000001,-0.6947900000000014,0.014239000000000019
-7.60000000000001,-0.6819700000000013,0.01405200000000002
-7.500000000000011,-0.6691500000000014,0.01386500000000002
-7.400000000000011,-0.6557500000000015,0.013707000000000018
-7.300000000000011,-0.6423500000000015,0.013549000000000018
-7.200000000000012,-0.6288750000000016,0.013378000000000022
